timestamp,user,source_host,destination_host,event_type,status,protocol,port,bytes_out,command,asset_criticality,label
1500051,lab.iyer@AIIMS,WARD-PC-044,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500167,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500185,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500209,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500231,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500358,lab.iyer@AIIMS,WARD-PC-044,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500448,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500484,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500603,lab.iyer@AIIMS,WARD-PC-044,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500698,dr.sharma@AIIMS,WARD-PC-041,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500720,nurse.patel@AIIMS,WARD-PC-042,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500837,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500950,dr.sharma@AIIMS,WARD-PC-041,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500965,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1500993,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501109,lab.iyer@AIIMS,WARD-PC-044,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501174,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501211,reception.rao@AIIMS,WARD-PC-043,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501229,reception.rao@AIIMS,WARD-PC-043,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501278,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501295,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501434,dr.sharma@AIIMS,WARD-PC-041,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501563,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501685,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501801,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501816,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501836,reception.rao@AIIMS,WARD-PC-043,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1501951,nurse.patel@AIIMS,WARD-PC-042,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1502003,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1502084,nurse.patel@AIIMS,WARD-PC-042,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502174,dr.sharma@AIIMS,WARD-PC-041,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502208,lab.iyer@AIIMS,WARD-PC-044,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502285,dr.sharma@AIIMS,WARD-PC-041,PACS-RADIOLOGY-01,auth,success,Kerberos,445,0,,medium,0
1502395,dr.sharma@AIIMS,WARD-PC-041,EMR-SRV-01,auth,success,Kerberos,445,0,,medium,0
