timestamp,user,source_host,destination_host,event_type,status,protocol,port,bytes_out,command,asset_criticality,label
150786,U620@DOM1,C17693,C1759,auth,success,NTLM,,0,,medium,0
150847,U620@DOM1,C17693,C1759,auth,success,NTLM,,0,,medium,0
150885,U620@DOM1,C17693,C1003,auth,success,NTLM,,0,,medium,1
151036,U748@DOM1,C17693,C305,auth,success,NTLM,,0,,medium,1
151648,U748@DOM1,C17693,C728,auth,success,NTLM,,0,,medium,1
151993,U6115@DOM1,C17693,C1173,auth,success,NTLM,,0,,medium,1
153792,U636@DOM1,C17693,C294,auth,success,NTLM,,0,,medium,1
155219,U748@DOM1,C17693,C5693,auth,success,NTLM,,0,,medium,1
155399,U748@DOM1,C17693,C152,auth,success,NTLM,,0,,medium,1
155460,U748@DOM1,C17693,C2341,auth,success,NTLM,,0,,medium,1
155591,U748@DOM1,C17693,C332,auth,success,NTLM,,0,,medium,1
156060,U748@DOM1,C17693,C3007,auth,success,NTLM,,0,,medium,0
156658,U748@DOM1,C17693,C4280,auth,success,NTLM,,0,,medium,1
205356,U748@DOM1,C17693,C3007,auth,success,NTLM,,0,,medium,0
208024,U748@DOM1,C17693,C3644,auth,success,NTLM,,0,,medium,0
210086,U748@DOM1,C18025,C1493,auth,success,NTLM,,0,,medium,1
210294,U748@DOM1,C18025,C1493,auth,success,NTLM,,0,,medium,1
210312,U748@DOM1,C18025,C1493,auth,success,NTLM,,0,,medium,1
214970,U825@DOM1,C18025,C2669,auth,fail,NTLM,,0,,medium,0
215025,U825@DOM1,C18025,C2669,auth,fail,NTLM,,0,,medium,0
215359,U748@DOM1,C17693,C3644,auth,success,NTLM,,0,,medium,0
216283,U748@DOM1,C17693,C5252,auth,success,NTLM,,0,,medium,0
218418,U748@DOM1,C17693,C504,auth,success,NTLM,,0,,medium,1
226048,U748@DOM1,C17693,C1973,auth,success,NTLM,,0,,medium,0
226825,U1723@DOM1,C17693,C2742,auth,fail,NTLM,,0,,medium,0
226938,U748@DOM1,C17693,C1973,auth,success,NTLM,,0,,medium,0
227052,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
227408,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
227518,U748@DOM1,C17693,C2651,auth,success,NTLM,,0,,medium,0
227520,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
227547,U748@DOM1,C17693,C2651,auth,success,NTLM,,0,,medium,0
227780,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
228024,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
228150,U748@DOM1,C17693,C148,auth,success,NTLM,,0,,medium,1
228463,U1723@DOM1,C17693,C2651,auth,success,NTLM,,0,,medium,0
228528,U1723@DOM1,C17693,C2651,auth,success,NTLM,,0,,medium,0
228574,U1723@DOM1,C17693,C2651,auth,success,NTLM,,0,,medium,0
228642,U1723@DOM1,C17693,C231,auth,success,NTLM,,0,,medium,1
228658,U1723@DOM1,C17693,C231,auth,success,NTLM,,0,,medium,1
229046,U1723@DOM1,C17693,C231,auth,success,NTLM,,0,,medium,1
230300,U1723@DOM1,C17693,C1759,auth,success,NTLM,,0,,medium,0
230395,U1723@DOM1,C17693,C1003,auth,success,NTLM,,0,,medium,1
231955,U1723@DOM1,C17693,C2742,auth,success,NTLM,,0,,medium,0
234667,U748@DOM1,C17693,C504,auth,success,NTLM,,0,,medium,1
460197,U748@DOM1,C17693,C721,auth,success,NTLM,,0,,medium,1
460711,U748@DOM1,C17693,C721,auth,success,NTLM,,0,,medium,1
460991,U748@DOM1,C17693,C721,auth,success,NTLM,,0,,medium,1
461842,U748@DOM1,C17693,C1567,auth,success,NTLM,,0,,medium,1
463374,U748@DOM1,C17693,C1003,auth,success,NTLM,,0,,medium,1
464246,U748@DOM1,C17693,C1567,auth,success,NTLM,,0,,medium,1
464254,U748@DOM1,C17693,C1567,auth,success,NTLM,,0,,medium,1
464260,U748@DOM1,C17693,C1567,auth,success,NTLM,,0,,medium,1
464542,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
464542,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
464544,U737@DOM1,C19932,C1065,auth,success,?,,0,,medium,0
464545,U737@DOM1,C19932,C612,auth,success,NTLM,,0,,medium,1
464545,U737@DOM1,C19932,C528,auth,success,?,,0,,medium,0
464545,U737@DOM1,C19932,TGT,auth,success,?,,0,,medium,0
464549,U737@DOM1,C19932,C528,auth,success,?,,0,,medium,0
464571,U737@DOM1,C19932,C612,auth,success,NTLM,,0,,medium,0
464671,U737@DOM1,C19932,C1065,auth,success,?,,0,,medium,0
464671,U737@DOM1,C19932,C1065,auth,success,Kerberos,,0,,medium,0
464672,U737@DOM1,C19932,C1065,auth,success,?,,0,,medium,0
464672,U737@DOM1,C19932,C529,auth,success,?,,0,,medium,0
464672,U737@DOM1,C19932,C1065,auth,success,Kerberos,,0,,medium,0
464672,U737@DOM1,C19932,C529,auth,success,Kerberos,,0,,medium,0
464674,U737@DOM1,C19932,C586,auth,success,?,,0,,medium,0
464683,U737@DOM1,C19932,C1665,auth,success,?,,0,,medium,0
464683,U737@DOM1,C19932,C4747,auth,success,?,,0,,medium,0
464689,U737@DOM1,C19932,C4747,auth,success,Kerberos,,0,,medium,0
464691,U737@DOM1,C19932,C1665,auth,success,Kerberos,,0,,medium,0
464694,U737@DOM1,C19932,C529,auth,success,Kerberos,,0,,medium,0
464695,U737@DOM1,C19932,C1065,auth,success,?,,0,,medium,0
464696,U737@DOM1,C19932,C1065,auth,success,Kerberos,,0,,medium,0
464696,U737@DOM1,C19932,C1065,auth,success,?,,0,,medium,0
465459,U737@DOM1,C19932,C586,auth,success,?,,0,,medium,0
465483,U737@DOM1,C19932,C586,auth,success,?,,0,,medium,0
466131,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
466191,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
466192,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
466192,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
466194,U737@DOM1,C19932,C612,auth,success,?,,0,,medium,0
466194,U737@DOM1,C19932,TGT,auth,success,?,,0,,medium,0
466195,U737@DOM1,C19932,C457,auth,success,NTLM,,0,,medium,1
466221,U737@DOM1,C19932,C457,auth,success,NTLM,,0,,medium,0
466280,U737@DOM1,C19932,C528,auth,success,?,,0,,medium,0
466280,U737@DOM1,C19932,C528,auth,success,Kerberos,,0,,medium,0
466281,U737@DOM1,C19932,C529,auth,success,Kerberos,,0,,medium,0
466282,U737@DOM1,C19932,C1640,auth,success,?,,0,,medium,0
466282,U737@DOM1,C19932,C529,auth,success,?,,0,,medium,0
466290,U737@DOM1,C19932,C1665,auth,success,?,,0,,medium,0
466291,U737@DOM1,C19932,C4747,auth,success,?,,0,,medium,0
466295,U737@DOM1,C19932,C4747,auth,success,Kerberos,,0,,medium,0
466295,U737@DOM1,C19932,C528,auth,success,?,,0,,medium,0
466297,U737@DOM1,C19932,C1665,auth,success,Kerberos,,0,,medium,0
466301,U737@DOM1,C19932,C529,auth,success,Kerberos,,0,,medium,0
466749,U737@DOM1,C19932,C1640,auth,success,?,,0,,medium,0
466758,U737@DOM1,C19932,C528,auth,success,?,,0,,medium,0
467065,U737@DOM1,C19932,C586,auth,success,?,,0,,medium,0
467526,U737@DOM1,C19932,C586,auth,success,?,,0,,medium,0
467542,U1723@DOM1,C17693,C17600,auth,fail,NTLM,,0,,medium,0
467590,U1723@DOM1,C17693,C17600,auth,success,NTLM,,0,,medium,1
467631,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
467633,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
468098,U737@DOM1,C19932,C19932,auth,success,?,,0,,medium,0
468557,U825@DOM1,C18025,C2651,auth,success,NTLM,,0,,medium,0
