timestamp,user,source_host,destination_host,event_type,status,protocol,port,bytes_out,command,asset_criticality,label
766788,U66@DOM1,C17693,C3435,auth,success,NTLM,,0,,medium,1
766846,U66@DOM1,C17693,C61,auth,success,NTLM,,0,,medium,1
767001,U66@DOM1,C17693,C307,auth,success,NTLM,,0,,medium,1
767180,U66@DOM1,C17693,C3699,auth,success,NTLM,,0,,medium,1
767288,U66@DOM1,C17693,C3755,auth,success,NTLM,,0,,medium,1
767813,U66@DOM1,C17693,C2944,auth,success,NTLM,,0,,medium,1
768404,U66@DOM1,C17693,C2196,auth,success,NTLM,,0,,medium,1
768556,U66@DOM1,C17693,C306,auth,success,NTLM,,0,,medium,1
768634,U66@DOM1,C17693,C306,auth,success,NTLM,,0,,medium,1
768742,U66@DOM1,C17693,C1944,auth,success,NTLM,,0,,medium,1
769094,U66@DOM1,C17693,C1732,auth,success,NTLM,,0,,medium,1
769352,U66@DOM1,C17693,C1028,auth,success,NTLM,,0,,medium,1
769507,U66@DOM1,C17693,C1823,auth,success,NTLM,,0,,medium,1
769638,U66@DOM1,C17693,C779,auth,success,NTLM,,0,,medium,1
769751,U66@DOM1,C17693,C3305,auth,success,NTLM,,0,,medium,1
769933,U66@DOM1,C17693,C1952,auth,success,NTLM,,0,,medium,1
770056,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
770089,U66@DOM1,C17693,C2737,auth,success,NTLM,,0,,medium,0
770435,U66@DOM1,C17693,C1881,auth,success,NTLM,,0,,medium,0
770651,U66@DOM1,C17693,C765,auth,success,NTLM,,0,,medium,1
770816,U66@DOM1,C17693,C92,auth,success,NTLM,,0,,medium,1
770950,U66@DOM1,C17693,C742,auth,success,NTLM,,0,,medium,1
771332,U66@DOM1,C17693,C3017,auth,success,NTLM,,0,,medium,0
771543,U66@DOM1,C17693,C3938,auth,success,NTLM,,0,,medium,0
771870,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
771890,U66@DOM1,C17693,C2481,auth,success,NTLM,,0,,medium,0
772122,U66@DOM1,C17693,C2069,auth,success,NTLM,,0,,medium,0
772253,U66@DOM1,C17693,C5653,auth,success,NTLM,,0,,medium,1
772570,U66@DOM1,C17693,C2508,auth,success,NTLM,,0,,medium,0
772593,U66@DOM1,C17693,C2508,auth,success,NTLM,,0,,medium,0
772715,U66@DOM1,C17693,C5653,auth,success,NTLM,,0,,medium,1
772864,U66@DOM1,C17693,C398,auth,success,NTLM,,0,,medium,1
772910,U66@DOM1,C17693,C2707,auth,success,NTLM,,0,,medium,0
773301,U66@DOM1,C17693,C1881,auth,success,NTLM,,0,,medium,0
773868,U66@DOM1,C17693,C1881,auth,success,NTLM,,0,,medium,0
773961,U66@DOM1,C17693,C765,auth,success,NTLM,,0,,medium,1
774180,U66@DOM1,C17693,C1710,auth,success,NTLM,,0,,medium,1
774214,U66@DOM1,C17693,C1966,auth,success,NTLM,,0,,medium,1
774246,U66@DOM1,C17693,C19646,auth,fail,NTLM,,0,,medium,0
774452,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1066394,U66@DOM1,C17693,C3610,auth,success,NTLM,,0,,medium,1
1066450,U66@DOM1,C17693,C19646,auth,fail,NTLM,,0,,medium,0
1066462,U66@DOM1,C17693,C1036,auth,fail,NTLM,,0,,medium,0
1066725,U66@DOM1,C17693,C881,auth,success,NTLM,,0,,medium,1
1066734,U66@DOM1,C17693,C1482,auth,success,NTLM,,0,,medium,1
1066786,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1066849,U66@DOM1,C17693,C2489,auth,success,NTLM,,0,,medium,0
1067357,U66@DOM1,C17693,C1881,auth,success,NTLM,,0,,medium,0
1067617,U66@DOM1,C17693,C4998,auth,success,NTLM,,0,,medium,0
1067763,U66@DOM1,C17693,C2762,auth,success,NTLM,,0,,medium,0
1067954,U66@DOM1,C17693,C2344,auth,success,NTLM,,0,,medium,0
1068217,U66@DOM1,C17693,C3015,auth,success,NTLM,,0,,medium,0
1068390,U66@DOM1,C17693,C3813,auth,success,NTLM,,0,,medium,1
1068507,U66@DOM1,C17693,C4610,auth,success,NTLM,,0,,medium,1
1068638,U66@DOM1,C17693,C626,auth,success,NTLM,,0,,medium,1
1068692,U66@DOM1,C17693,C626,auth,success,NTLM,,0,,medium,1
1068753,U66@DOM1,C17693,C626,auth,success,NTLM,,0,,medium,1
1068810,U66@DOM1,C17693,C1191,auth,success,NTLM,,0,,medium,1
1069035,U66@DOM1,C17693,C1006,auth,success,NTLM,,0,,medium,1
1069304,U66@DOM1,C17693,C3413,auth,success,NTLM,,0,,medium,0
1069705,U66@DOM1,C17693,C3430,auth,success,NTLM,,0,,medium,0
1069849,U66@DOM1,C17693,C2472,auth,success,NTLM,,0,,medium,0
1069965,U66@DOM1,C17693,C3755,auth,success,NTLM,,0,,medium,1
1070107,U66@DOM1,C17693,C398,auth,success,NTLM,,0,,medium,1
1070196,U66@DOM1,C17693,C1152,auth,success,NTLM,,0,,medium,0
1070370,U66@DOM1,C17693,C2143,auth,success,NTLM,,0,,medium,0
1070688,U66@DOM1,C17693,C3017,auth,success,NTLM,,0,,medium,0
1070820,U66@DOM1,C17693,C3938,auth,success,NTLM,,0,,medium,0
1071248,U66@DOM1,C17693,C5653,auth,success,NTLM,,0,,medium,1
1071334,U66@DOM1,C17693,C2186,auth,success,NTLM,,0,,medium,0
1071728,U66@DOM1,C17693,C2481,auth,success,NTLM,,0,,medium,0
1071782,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1071795,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1071802,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1071809,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1071814,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1071835,U66@DOM1,C17693,C6699,auth,fail,NTLM,,0,,medium,0
1071879,U66@DOM1,C17693,C8410,auth,fail,NTLM,,0,,medium,0
1071931,U66@DOM1,C17693,C1371,auth,fail,NTLM,,0,,medium,0
1072061,U66@DOM1,C17693,C2457,auth,success,NTLM,,0,,medium,0
1072237,U66@DOM1,C17693,C92,auth,success,NTLM,,0,,medium,1
1072375,U66@DOM1,C17693,C5653,auth,success,NTLM,,0,,medium,1
1072511,U66@DOM1,C17693,C2313,auth,success,NTLM,,0,,medium,0
1072623,U66@DOM1,C17693,C1149,auth,success,NTLM,,0,,medium,0
1072662,U66@DOM1,C17693,C3288,auth,success,NTLM,,0,,medium,1
1072801,U66@DOM1,C17693,C2706,auth,success,NTLM,,0,,medium,0
1072904,U66@DOM1,C17693,C849,auth,success,NTLM,,0,,medium,1
1072980,U66@DOM1,C17693,C1737,auth,success,NTLM,,0,,medium,1
1072989,U66@DOM1,C17693,C2012,auth,success,NTLM,,0,,medium,1
1072998,U66@DOM1,C17693,C2079,auth,success,NTLM,,0,,medium,1
1073011,U66@DOM1,C17693,C4728,auth,success,NTLM,,0,,medium,0
1073022,U66@DOM1,C17693,C3015,auth,success,NTLM,,0,,medium,0
1073108,U66@DOM1,C17693,C102,auth,success,NTLM,,0,,medium,1
1073200,U66@DOM1,C17693,C1879,auth,success,NTLM,,0,,medium,0
1073466,U66@DOM1,C17693,C2257,auth,success,NTLM,,0,,medium,0
1073709,U66@DOM1,C17693,C1042,auth,success,NTLM,,0,,medium,1
1073973,U66@DOM1,C17693,C92,auth,success,NTLM,,0,,medium,1
1074057,U66@DOM1,C17693,C8209,auth,fail,NTLM,,0,,medium,0
1074074,U66@DOM1,C17693,C1944,auth,success,NTLM,,0,,medium,1
1074089,U66@DOM1,C17693,C8410,auth,fail,NTLM,,0,,medium,0
1074146,U66@DOM1,C17693,C1737,auth,success,NTLM,,0,,medium,1
1074158,U66@DOM1,C17693,C2079,auth,success,NTLM,,0,,medium,1
1074182,U66@DOM1,C17693,C1964,auth,success,NTLM,,0,,medium,1
1074213,U66@DOM1,C17693,C2379,auth,fail,NTLM,,0,,medium,0
1074235,U66@DOM1,C17693,C4728,auth,success,NTLM,,0,,medium,0
1074387,U66@DOM1,C17693,C2379,auth,fail,NTLM,,0,,medium,0
1074395,U66@DOM1,C17693,C1961,auth,success,NTLM,,0,,medium,1
1074512,U66@DOM1,C17693,C423,auth,success,NTLM,,0,,medium,1
1074741,U66@DOM1,C17693,C1936,auth,success,NTLM,,0,,medium,1
1074754,U66@DOM1,C17693,C1737,auth,success,NTLM,,0,,medium,1
1074902,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1074920,U66@DOM1,C17693,C976,auth,fail,NTLM,,0,,medium,0
1074927,U66@DOM1,C17693,C3380,auth,success,NTLM,,0,,medium,1
1074955,U66@DOM1,C17693,C3635,auth,success,NTLM,,0,,medium,1
1074964,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1075332,U66@DOM1,C17693,C1172,auth,fail,NTLM,,0,,medium,0
1075345,U66@DOM1,C17693,C452,auth,success,NTLM,,0,,medium,1
1075356,U66@DOM1,C17693,C1015,auth,success,NTLM,,0,,medium,1
1075370,U66@DOM1,C17693,C22174,auth,success,NTLM,,0,,medium,1
1075605,U66@DOM1,C17693,C5439,auth,success,NTLM,,0,,medium,1
1075609,U66@DOM1,C17693,C5439,auth,success,NTLM,,0,,medium,1
1075721,U66@DOM1,C17693,C4106,auth,success,NTLM,,0,,medium,1
1075914,U66@DOM1,C17693,C368,auth,success,NTLM,,0,,medium,1
1075935,U66@DOM1,C17693,C5343,auth,success,NTLM,,0,,medium,1
1075957,U66@DOM1,C17693,C20742,auth,fail,NTLM,,0,,medium,0
1075965,U66@DOM1,C17693,C20741,auth,fail,NTLM,,0,,medium,0
1075977,U66@DOM1,C17693,C20741,auth,fail,NTLM,,0,,medium,0
1076117,U66@DOM1,C17693,C2631,auth,success,NTLM,,0,,medium,0
1076286,U66@DOM1,C17693,C1482,auth,success,NTLM,,0,,medium,1
1076295,U66@DOM1,C17693,C881,auth,success,NTLM,,0,,medium,1
1076306,U66@DOM1,C17693,C976,auth,fail,NTLM,,0,,medium,0
1076311,U66@DOM1,C17693,C2013,auth,success,NTLM,,0,,medium,1
1077008,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1077014,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1077018,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1077024,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1078177,U66@DOM1,C17693,C3019,auth,success,NTLM,,0,,medium,1
1078305,U66@DOM1,C17693,C4476,auth,success,NTLM,,0,,medium,0
1078386,U66@DOM1,C17693,C5489,auth,success,NTLM,,0,,medium,0
1078854,U66@DOM1,C17693,C5264,auth,success,NTLM,,0,,medium,0
1079008,U66@DOM1,C17693,C1760,auth,success,NTLM,,0,,medium,0
1079080,U66@DOM1,C17693,C4759,auth,success,NTLM,,0,,medium,0
1079182,U66@DOM1,C17693,C3386,auth,success,NTLM,,0,,medium,0
1079318,U66@DOM1,C17693,C1646,auth,success,NTLM,,0,,medium,0
1079346,U66@DOM1,C17693,C1152,auth,success,NTLM,,0,,medium,0
1079438,U66@DOM1,C17693,C2813,auth,fail,NTLM,,0,,medium,0
1079716,U66@DOM1,C17693,C22174,auth,success,NTLM,,0,,medium,1
1079728,U66@DOM1,C17693,C22176,auth,success,NTLM,,0,,medium,1
1079836,U66@DOM1,C17693,C553,auth,success,NTLM,,0,,medium,1
1079852,U66@DOM1,C17693,C3888,auth,success,NTLM,,0,,medium,1
1079871,U66@DOM1,C17693,C2013,auth,success,NTLM,,0,,medium,1
1079883,U66@DOM1,C17693,C1085,auth,success,NTLM,,0,,medium,1
1079893,U66@DOM1,C17693,C881,auth,success,NTLM,,0,,medium,1
1079904,U66@DOM1,C17693,C243,auth,success,NTLM,,0,,medium,1
1079916,U66@DOM1,C17693,C4403,auth,success,NTLM,,0,,medium,1
1079926,U66@DOM1,C17693,C798,auth,success,NTLM,,0,,medium,1
1080030,U66@DOM1,C17693,C5111,auth,success,NTLM,,0,,medium,1
1080147,U66@DOM1,C17693,C506,auth,success,NTLM,,0,,medium,1
1080418,U66@DOM1,C17693,C429,auth,success,NTLM,,0,,medium,1
1080432,U66@DOM1,C17693,C1360,auth,fail,NTLM,,0,,medium,0
1080490,U66@DOM1,C17693,C1360,auth,fail,NTLM,,0,,medium,0
1080532,U66@DOM1,C17693,C1755,auth,success,NTLM,,0,,medium,0
1080552,U66@DOM1,C17693,C3610,auth,success,NTLM,,0,,medium,1
1080589,U66@DOM1,C17693,C19646,auth,fail,NTLM,,0,,medium,0
1080606,U66@DOM1,C17693,C755,auth,fail,NTLM,,0,,medium,0
1080847,U66@DOM1,C17693,C1755,auth,success,NTLM,,0,,medium,0
1080926,U66@DOM1,C17693,C1096,auth,success,NTLM,,0,,medium,1
1081423,U66@DOM1,C17693,C1755,auth,success,NTLM,,0,,medium,0
1082123,U66@DOM1,C17693,C3758,auth,success,NTLM,,0,,medium,1
1082244,U66@DOM1,C17693,C2254,auth,success,NTLM,,0,,medium,1
1161641,U66@DOM1,C17693,C2481,auth,success,NTLM,,0,,medium,0
1163160,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1163172,U66@DOM1,C17693,C3610,auth,success,NTLM,,0,,medium,1
1163185,U66@DOM1,C17693,C177,auth,fail,NTLM,,0,,medium,0
1163203,U66@DOM1,C17693,C285,auth,fail,NTLM,,0,,medium,0
1165092,U66@DOM1,C17693,C3610,auth,success,NTLM,,0,,medium,1
1165467,U66@DOM1,C17693,C5264,auth,success,NTLM,,0,,medium,0
1165528,U66@DOM1,C17693,C1371,auth,fail,NTLM,,0,,medium,0
1165607,U66@DOM1,C17693,C3386,auth,success,NTLM,,0,,medium,0
1165923,U66@DOM1,C17693,C155,auth,success,NTLM,,0,,medium,1
1166085,U66@DOM1,C17693,C3386,auth,success,NTLM,,0,,medium,0
1166263,U66@DOM1,C17693,C177,auth,fail,NTLM,,0,,medium,0
1166288,U66@DOM1,C17693,C2388,auth,success,NTLM,,0,,medium,1
1166301,U66@DOM1,C17693,C429,auth,success,NTLM,,0,,medium,1
1166320,U66@DOM1,C17693,C3170,auth,success,NTLM,,0,,medium,1
1167547,U66@DOM1,C17693,C423,auth,success,NTLM,,0,,medium,1
1167670,U66@DOM1,C17693,C2079,auth,success,NTLM,,0,,medium,1
1167994,U66@DOM1,C17693,C3037,auth,success,NTLM,,0,,medium,1
1168077,U66@DOM1,C17693,C1509,auth,success,NTLM,,0,,medium,1
1168100,U66@DOM1,C17693,C92,auth,success,NTLM,,0,,medium,1
1178267,U66@DOM1,C17693,C1710,auth,success,NTLM,,0,,medium,1
1179625,U66@DOM1,C17693,C3758,auth,success,NTLM,,0,,medium,1
